std_company_name,ISIN,bse_symbol,nse_symbol
SATIN CREDITCARE NETWORK LIMITED,INE836B01017,SATIN,SATIN
SPRIGHT AGRO LIMITED,INE179O01031,SPRIGHT,
IFGL Refractories Limited,INE133Y01011,IFGLEXPOR,IFGLEXPOR
Everest Kanto Cylinders Ltd.,INE184H01027,EKC,EKC
Alicon Castalloy Limited,INE062D01024,ALICON,ALICON
Sangam (India) Ltd,INE495C01010,SANGAMIND,SANGAMIND
Taj GVK Hotels & Resorts Ltd.,INE586B01026,TAJGVK,TAJGVK
Talbros Automotive Components Ltd.,INE187D01029,TALBROAUTO,TALBROAUTO
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,UNIECOM,UNIECOM
EXPLEO SOLUTIONS LIMITED,INE201K01015,EXPLEOSOL,EXPLEOSOL
BLS E-Services Limited,INE0NLT01010,BLSE,BLSE
Antony Waste Handling Cell Limited,INE01BK01022,AWHCL,AWHCL
Veranda Learning Solutions Limited,INE0IQ001011,VERANDA,VERANDA
Jagran Prakashan Limited,INE199G01027,JAGRAN,JAGRAN
Deccan Gold Mines Ltd.,INE945F01025,DECNGOLD,
DIVGI TORQTRANSFER SYSTEMS LIMITED,INE753U01022,DIVGIITTS,DIVGIITTS
PRAVEG LIMITED,INE722B01019,PRAVEG,
Hariom Pipe Industries Limited,INE00EV01017,HARIOMPIPE,HARIOMPIPE
Jindal Drilling & Industries Ltd.,INE742C01031,JINDRILL,JINDRILL
Emrald Commercial Limited,INE162D01014,,
Madhya Bharat Agro Products Ltd.,INE900L01010,,MBAPL
YATRA ONLINE LIMITED,INE0JR601024,YATRA,YATRA
Shriram Properties Limited,INE217L01019,SHRIRAMPPS,SHRIRAMPPS
Balmer Lawrie Investments Ltd.,INE525F01025,BLIL,
Vertoz Ltd.,INE188Y01023,,VERTOZ
Elpro International Ltd.,INE579B01039,ELPROINTL,
Master Trust Ltd.,INE677D01037,MASTERTR,MASTERTR
Windlas Biotech Limited,INE0H5O01029,WINDLAS,WINDLAS
G.M. Breweries Ltd.,INE075D01018,GMBREW,GMBREW
Rama Steel Tubes Limited,INE230R01035,RAMASTEEL,RAMASTEEL
Udaipur Cement Works Limited,INE225C01029,UDAICEMENT,UDAICEMENT
WONDER ELECTRICALS LIMITED,INE02WG01024,WEL,WEL
Advait Infratech Limited,INE0ALI01010,ADVAIT,
Kilburn Engineering Ltd,INE338F01015,KLBRENG-B,
Sterling Tools Ltd.,INE334A01023,STERTOOLS,STERTOOLS
WHEELS INDIA LTD,INE715A01015,WHEELS,WHEELS
GPT Infraprojects limited,INE390G01014,GPTINFRA,GPTINFRA
Rossell Techsys Limited,INE0OJW01016,ROSSTECH,ROSSTECH
Jaiprakash Associates Limited,INE455F01025,JPASSOCIAT,JPASSOCIAT
Bombay Super Hybrid Seeds Ltd.,INE032Z01020,,BSHSL
GKW Ltd.,INE528A01020,,GKWLIMITED
Sirca Paints India Limited,INE792Z01011,SIRCA,SIRCA
ORIENTAL RAIL INFRASTRUCTURE LIMITED,INE457G01029,ORIRAIL,
Camlin Fine Sciences Ltd,INE052I01032,CAMLINFINE,CAMLINFINE
Salzer Electronics Ltd.,INE457F01013,SALZERELEC,SALZERELEC
IG Petrochemicals Ltd,INE204A01010,IGPL,IGPL
Lotus Chocolate Co. Ltd.,INE026D01011,LOTUSCHO,
GRP Limited,INE137I01015,GRPLTD,GRPLTD
MUFIN GREEN FINANCE LIMITED,INE08KJ01020,MUFIN,MUFIN
Roto Pumps Ltd.,INE535D01037,ROTO,ROTO
Syncom Formulations (India) Ltd.,INE312C01025,SYNCOMF,SYNCOMF
Sigachi Industries Limited,INE0D0K01022,SIGACHI,SIGACHI
RAVINDRA ENERGY LIMITED,INE206N01018,RELTD,RELTD
DPSC Ltd.,INE360C01024,,DPSCLTD
Heranba Industries Limited,INE694N01015,HERANBA,HERANBA
Excell Industries Ltd.,INE369A01029,EXCELINDUS,EXCELINDUS
G N A Axles Limited,INE934S01014,GNA,GNA
Ador Welding Ltd.,INE045A01017,ADORWELD,ADORWELD
Suryoday Small Finance Bank Limited,INE428Q01011,SURYODAY,SURYODAY
Reliance Industrial Infrastructure,INE046A01015,RIIL,RIIL
Atul Auto Limited,INE951D01028,ATULAUTO,ATULAUTO
GTPL Hathway Limited,INE869I01013,GTPL,GTPL
Sadhana Nitrochem Ltd.,INE888C01040,SADHNANIQ,SADHNANIQ
Saraswati Commercial (India) Ltd.,INE967G01019,ZSARACOM,
Panacea Biotec Ltd.,INE922B01023,PANACEABIO,PANACEABIO
Agarwal Industrial Corporation Limited,INE204E01012,AGARIND,AGARIND
Suyog Telematics Limited,INE442P01014,SUYOG,SUYOG
Eco Recycling Limited,INE316A01038,ECORECO,
Dynacons Systems & Solutions Ltd.,INE417B01040,DSSL,DSSL
Godavari Biorefineries Limited,INE497S01012,GODAVARIB,GODAVARIB
Bigbloc Construction Limited,INE412U01025,BIGBLOC,BIGBLOC
Hind Rectifiers Ltd.,INE835D01023,HIRECT,HIRECT
Jyoti Resins & Adhesives Ltd,INE577D01013,JYOTIRES,
ASM Technologies Ltd.,INE867C01010,ASMTEC,
Swelect Energy Systems Limited,INE409B01013,SWELECTES,SWELECTES
DCM Shriram Industries Ltd.,INE843D01027,DCMSRIND,DCMSRIND
BRIGHTCOM GROUP LIMITED,INE425B01027,BCG,BCG
Walchandnagar Industries Ltd,INE711A01022,WALCHANNAG,WALCHANNAG
IRM ENERGY LIMITED,INE07U701015,IRMENERGY,IRMENERGY
Bharat Wire Ropes Limited,INE316L01019,BHARATWIRE,BHARATWIRE
Peninsula Land Limited,INE138A01028,PENINLAND,PENINLAND
PAUSHAK LIMITED (formerly known as Darshak Limited),INE111F01016,PAUSHAKLTD,
Himatsingka Seide Ltd.,INE049A01027,HIMATSEIDE,HIMATSEIDE
India Nippon Electricals Ltd,INE092B01025,INDNIPPON,INDNIPPON
Kokuyo Camlin Ltd,INE760A01029,KOKUYOCMLN,KOKUYOCMLN
TCC CONCEPT LIMITED,INE887D01016,TCC,
Arman Financial Services Limited,INE109C01017,ARMANFIN,ARMANFIN
Madras Fertilizers Ltd,INE414A01015,MADRASFERT,MADRASFERT
Zota Health Care Ltd.,INE358U01012,,ZOTA
Timex Group India Ltd,INE064A01026,TIMEX,
Borosil Scientific Limited,INE02L001032,BOROSCI,BOROSCI
Southern Petrochemical Industries Corporation Limited,INE147A01011,SPIC,SPIC
ORIENTAL AROMATICS LIMITED,INE959C01023,OAL,OAL
RAJESH POWER SERVICES LIMITED ,INE0VN801010,RAJESH,
NDR Auto Components Limited,INE07OG01012,NDRAUTO,NDRAUTO
CEINSYS TECH LIMITED,INE016Q01014,CEINSYSTECH,
The Hi-Tech Gears Limited,INE127B01011,HITECHGEAR,HITECHGEAR
OM INFRA LIMITED,INE239D01028,OMINFRAL,OMINFRAL
Texmaco Infrastructure & Holdings Ltd,INE435C01024,TEXINFRA,TEXINFRA
Amines & Plasticizers Ltd,INE275D01022,AMNPLST,AMNPLST
BCL INDUSTRIES LIMITED,INE412G01024,BCLIND,BCLIND
SMC Global Securities Limited,INE103C01036,SMCGLOBAL,SMCGLOBAL
Forbes Precision Tools and Machine Parts Limited,INE0TT901016,TOTEM,
Mangalore Chemicals & Fertilisers L,INE558B01017,MANGCHEFER,MANGCHEFER
Dynamic Cables Limited,INE600Y01019,DYCL,DYCL
MSP STEEL & POWER LTD.,INE752G01015,MSPL,MSPL
Rane (Madras)  Ltd.,INE050H01012,RML,RML
Associated Alcohols & Breweries Ltd,INE073G01016,ASALCBR,ASALCBR
Everest Industries Ltd.,INE295A01018,EVERESTIND,EVERESTIND
Concord Enviro Systems Limited,INE037Z01029,CEWATER,CEWATER
Monte Carlo Fashions Limited,INE950M01013,MONTECARLO,MONTECARLO
MERCURY EV-TECH LIMITED,INE763M01028,MERCURYEV,
Elcid Investments Ltd.,INE927X01018,ELCIDIN,
Tourism Finance Corpn. Of India Ltd,INE305A01015,TFCILTD,TFCILTD
Alldigi Tech Limited,INE835G01018,ALLDIGI,ALLDIGI
Butterfly Gandhimathi Appliances Limited,INE295F01017,BUTTERFLY,BUTTERFLY
EIMCO Elecon India Ltd.,INE158B01016,EIMCOELECO,EIMCOELECO
5paisa Capital Limited,INE618L01018,5PAISA,5PAISA
Matrimony.com Limited,INE866R01028,MATRIMONY,MATRIMONY
Yuken India Ltd.,INE384C01016,YUKEN,YUKEN
INDIA MOTOR PARTS & ACCESSORIES LTD,INE547E01014,IMPAL,IMPAL
Likhitha Infrastructure Limited,INE060901027,LIKHITHA,LIKHITHA
The Yamuna Syndicate Ltd ,INE868X01014,YSL,
Mishtann Foods Limited,INE094S01041,MISHTANN ,
Kabra Extrusion Technik Ltd,INE900B01029,KABRAEXTRU,KABRAEXTRU
Subex  Ltd,INE754A01055,SUBEXLTD,SUBEXLTD
Fairchem Organics Limited,INE0DNW01011,FAIRCHEMOR,FAIRCHEMOR
Automobile Corpn. of Goa Ltd.,INE451C01013,ACGL,
Tribhovandas Bhimji Zaveri Limited,INE760L01018,TBZ,TBZ
Steelcast Ltd.,INE124E01020,STEELCAS,STEELCAS
Ultramarine & Pigments Ltd.,INE405A01021,ULTRAMAR,
Windsor Machines Limited,INE052A01021,WINDMACHIN,WINDMACHIN
Centrum Capital Limited,INE660C01027,CENTRUM,CENTRUM
Sportking India Ltd.,INE885H01029,SPORTKING,SPORTKING
Fratelli Vineyards Limited,INE401Z01019,FRATELLI,
Arihant Superstructures Limited,INE643K01018,ARIHANTSUP,ARIHANTSUP
Dhunseri Ventures Limited,INE477B01010,DVL,DVL
Amic Forging Limited,INE0P9J01013,AMIC,
Hexa Tradex Limited,INE750M01017,HEXATRADEX,HEXATRADEX
Tamil Nadu Newsprint And Papers Ltd,INE107A01015,TNPL,TNPL
Chaman Lal Setia Exports Ltd.,INE419D01026,CLSEL,CLSEL
RICO Auto Industries Ltd.,INE209B01025,RICOAUTO,RICOAUTO
Ramco Systems Ltd,INE246B01019,RAMCOSYS,RAMCOSYS
ASIAN ENERGY SERVICES LTD,INE276G01015,ASIANENE,ASIANENE
MAMATA MACHINERY LIMITED,INE0TO701015,MAMATA,MAMATA
Shankara Building Products Limited,INE274V01019,SHANKARA,SHANKARA
Orient Technologies Limited,INE0PPK01015,ORIENTTECH,ORIENTTECH
Popular Vehicles and Services Limited,INE772T01024,PVSL,PVSL
Punjab Chemicals and Crop Protection Ltd.,INE277B01014,PUNJABCHEM,PUNJABCHEM
GPT Healthcare Limited,INE486R01017,GPTHEALTH,GPTHEALTH
The Andhra Sugars Ltd.,INE715B01021,ANDHRSUGAR,ANDHRSUGAR
PANORAMA STUDIOS INTERNATIONAL LIMITED ,INE258R01028,PANORAMA,
Krishana Phoschem Ltd.,INE506W01012,,KRISHANA
ALLCARGO GATI LIMITED,INE152B01027,ACLGATI,ACLGATI
BMW INDUSTRIES LIMITED,INE374E01021,BMW,
Kellton Tech Solutions Ltd.,INE164B01022,KELLTONTEC,KELLTONTEC
J.G.Chemicals Limited,INE0MB501011,JGCHEM,JGCHEM
Kamdhenu Limited,INE390H01012,KAMDHENU,KAMDHENU
Rishabh Instruments Limited,INE0N2P01017,RISHABH,RISHABH
Vimta Labs Ltd.,INE579C01029,VIMTALABS,VIMTALABS
Century Enka Ltd.,INE485A01015,CENTENKA,CENTENKA
AGI Infra Limited,INE976R01017,AGIIL,AGIIL
Vascon Engineers Limited,INE893I01013,VASCONEQ,VASCONEQ
BEST AGROLIFE LIMITED,INE052T01013,BESTAGRO,BESTAGRO
Allied Digital Services Limited,INE102I01027,ADSL,ADSL
Shree Digvijay Cement Co. Ltd.,INE232A01011,SHREDIGCEM,SHREDIGCEM
Kernex Microsystems (India) Ltd.,INE202H01019,KERNEX,KERNEX
Lincoln Pharmaceuticals ltd.,INE405C01035,LINCOLN,LINCOLN
Spacenet Enterprises India Ltd.,INE970N01027,,SPCENET
Wealth First Portfolio Managers Ltd.,INE658T01017,,WEALTH
Signpost India Limited,INE0KGZ01021,SIGNPOST,SIGNPOST
One Point One Solutions Ltd.,INE840Y01029,,ONEPOINT
VINTAGE COFFEE AND BEVERAGES LIMITED,INE498Q01014,VINCOFE,VINCOFE
VL E-Governance & IT Solutions Limited,INE03HW01020,VLEGOV,VLEGOV
Macpower CNC Machines Ltd.,INE155Z01011,,MACPOWER
Bajaj Steel Industries Ltd.,INE704G01024,BAJAJST,
Vardhman Holdings Limited,INE701A01023,VHL,VHL
CROPSTER AGRO LIMITED,INE293E01031,CROPSTER,
T.V.Today Network Limited,INE038F01029,TVTODAY,TVTODAY
Cosmic CRF Limited,INE0ORA01015,COSMICCRF,
Manali Petrochemicals Ltd.,INE201A01024,MANALIPETC,MANALIPETC
Afcom Holdings Limited,INE0OXY01013,AFCOM,
Capital Small Finance Bank Ltd,INE646H01017,CAPITALSFB,CAPITALSFB
Bliss GVS Pharma Limited,INE416D01022,BLISSGVS,BLISSGVS
Ester Industries Ltd.,INE778B01029,ESTER,ESTER
Shiva Cement Ltd.,INE555C01029,SHIVACEM,
FEDDERS HOLDING LIMITED,INE417D01020,FEDDERSHOL,
CFF FLUID CONTROL LIMITED,INE0NJ001013,CFF,
Western Carriers (India) Limited,INE0CJF01024,WCIL,WCIL
Chemfab Alkalis Ltd,INE783X01023,CHEMFAB,CHEMFAB
GRM Overseas Ltd.,INE192H01020,GRMOVER,GRMOVER
Saurashtra Cement Limited,INE626A01014,SAURASHCEM,SAURASHCEM
SPML Infra Limited,INE937A01023,SPMLINFRA,SPMLINFRA
KMC Speciality Hospitals India Limited,INE879K01018,KMCSHIL,
RENAISSANCE GLOBAL LIMITED,INE722H01024,RGL,RGL
Kross Limited,INE0O6601022,KROSS ,KROSS
VEEFIN SOLUTIONS LIMITED,INE0Q0M01015,VEEFIN,
Z.F. Steering Gear (India) Limited,INE116C01012,ZFSTEERING,
Rhetan TMT Limited,INE0KKN01029,RHETAN,
Dhampur Sugar Mills Ltd.,INE041A01016,DHAMPURSUG,DHAMPURSUG
NGL Fine Chem Ltd.,INE887E01022,NGLFINE,NGLFINE
Xchanging Solutions Limited,INE692G01013,XCHANGING,XCHANGING
Khazanchi Jewellers Limited,INE0OWC01011,KHAZANCHI ,
KIRLOSKAR ELECTRIC COMPANY LTD.,INE134B01017,KECL,KECL
CREST VENTURES LIMITED,INE559D01011,CREST,CREST
Kopran Ltd.,INE082A01010,KOPRAN,KOPRAN
Asian Star Co. Ltd.,INE194D01017,ASTAR,
Selan Exploration Technology Ltd.,INE818A01017,SELAN,SELAN
VLS Finance Limited,INE709A01018,VLSFINANCE,VLSFINANCE
Frick India Limited,INE499C01012,,
Mukka Proteins Limited,INE0CG401037,MUKKA,MUKKA
AVADH SUGAR & ENERGY LIMITED,INE349W01017,AVADHSUGAR,AVADHSUGAR
Taneja Aerospace & Aviation Ltd.,INE692C01020,TANAA,
Beekay Steel Industries Ltd.,INE213D01015,BEEKAY,
HLV LIMITED,INE102A01024,HLVLTD,HLVLTD
Sat Industries Ltd,INE065D01027,SATINDLTD,SATINDLTD
LAST MILE ENTERPRISES LIMITED,INE404B01014,LASTMILE,
Raj Rayon Industries Limited,INE533D01032,RAJRILTD,RAJRILTD
AVT Natural Products Ltd.,INE488D01021,AVTNPL,AVTNPL
WARDWIZARD INNOVATIONS AND MOBILITY LIMITED,INE945P01024,WARDINMOBI,
Prakash Pipes Limited,INE050001010,PPL,PPL
Dwarikesh Sugar Industries Ltd.,INE366A01041,DWARKESH,DWARKESH
SNOWMAN LOGISTICS LIMITED,INE734N01019,SNOWMAN,SNOWMAN
R K Swamy Limited,INE0NQ801033,RKSWAMY,RKSWAMY
Pudumjee Paper Products Limited,INE865T01018,PDMJEPAPER,PDMJEPAPER
Gulshan Polyols Ltd.,INE255D01024,GULPOLY,GULPOLY
Alphalogic Techsys Limited,INE08E401029,ALPHALOGIC,
Mafatlal Industries Ltd.,INE270B01035,MAFATIND,
Steel Exchange India Ltd.,INE503B01021,STEELXIND,STEELXIND
Jagsonpal Pharmaceuticals Limited,INE048B01027,JAGSNPHARM,JAGSNPHARM
Jaykay Enterprises Limited,INE903A01025,JAYKAY,
Indo Amines Ltd.,INE760F01028,INDOAMIN,INDOAMIN
Sandesh Ltd.,INE583B01015,SANDESH,SANDESH
 Aurum PropTech Limited,INE898S01029,AURUM,AURUM
Automotive Stampings and Assemblies Ltd.,INE900C01027,ASAL,ASAL
Control Print (India) Ltd.,INE663B01015,CONTROLPR,CONTROLPR
3B BlackBio Dx Limited,INE994E01018,3BBLACKBIO,
Electrotherm (India) Ltd,INE822G01016,ELECTHERM,ELECTHERM
Simplex Infrastructures Limited,INE059B01024,SIMPLEXINF,SIMPLEXINF
Oswal Greentech Limited,INE143A01010,OSWALGREEN,OSWALGREEN
Kuantum Papers Limited,INE529I01021,KUANTUM,KUANTUM
GIC Housing Finance Ltd.,INE289B01019,GICHSGFIN,GICHSGFIN
Gala Precision Engineering Limited,INE0RE001014,GALAPREC,GALAPREC
Uttam Sugar Mills Ltd,INE786F01031,UTTAMSUGAR,UTTAMSUGAR
Ice Make Refrigeration Ltd.,INE520Y01019,,ICEMAKE
Heubach Colorants India Limited,INE492A01029,HEUBACHIND,HEUBACHIND
Saint-Gobain Sekurit India Ltd.,INE068B01017,SAINTGOBAIN,
Radhika Jeweltech Limited,INE583V01021,RADHIKAJWE,RADHIKAJWE
New Delhi Television Limited,INE155G01029,NDTV,NDTV
Diffusion Engineers Limited,INE184O01015,DIFFNKG,DIFFNKG
Ksolves India Limited,INE0D6I01015,KSOLVES,KSOLVES
Enkei wheels (India) Limited,INE130L01014,ENKEIWHEL,
CAPITAL INDIA FINANCE LIMITED,INE345H01016,CIFL,
Arrow Greentech Limited,INE570D01018,ARROWGREEN,ARROWGREEN
MANOJ VAIBHAV GEMS 'N' JEWELLERS LIMITED,INE0KNT01012,MVGJL,MVGJL
Finkurve Financial Services Limited,INE734I01027,FINKURVE,
Credo Brands Marketing Limited,INE220Q01020,MUFTI,MUFTI
Dhunseri Investments Ltd,INE320L01011,DHUNINV,DHUNINV
 Max India Limited,INE0CG601016,MAXIND,MAXIND
PAKKA LIMITED,INE551D01018,PAKKA,PAKKA
Creative Newtech Ltd.,INE985W01018,,CREATIVE
Kothari Petrochem Ltd.,INE720A01015,,KOTHARIPET
Aptech Ltd.,INE266F01018,APTECHT,APTECHT
Indo Rama Synthetics (India) Ltd.,INE156A01020,INDORAMA,INDORAMA
Vantage Knowledge Academy Limited,INE427T01025,VKAL,
HARDWYN INDIA LIMITED,INE626Z01029,HARDWYN,HARDWYN
NACL Industries Limited,INE295D01020,NACLIND,NACLIND
Sree Rayalaseema Hi-Strength Hypo Limited,INE917H01012,SRHHYPOLTD,SRHHYPOLTD
Nelcast Limited,INE189I01024,NELCAST,NELCAST
Uniphos Enterprises Limited.,INE037A01022,UNIENTER,UNIENTER
Sika Interplant Systems Ltd.,INE438E01016,SIKA,
SATIA INDUSTRIES LIMITED,INE170E01023,SATIA,SATIA
IST Limited,INE684B01029,ISTLTD,
Industrial & Prudential Inv. Co. Lt,INE620D01011,INDPRUD,
Faze Three Ltd.,INE963C01033,FAZE3Q,FAZE3Q
Munjal Auto Industries Ltd.,INE672B01032,MUNJALAU,MUNJALAU
Bajaj Healthcare Limited,INE411U01027,BAJAJHCARE,BAJAJHCARE
TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LIMITED,INE400A01014,TUTIALKA,
Allcargo Terminals Limited,INE0NN701020,ATL,ATL
Magadh Sugar & Energy Limited,INE347W01011,MAGADSUGAR,MAGADSUGAR
BEML Land Assets Limited,INE0N7W01012,BLAL,BLAL
Elin Electronics Limited,INE050401020,ELIN,ELIN
Shalimar Paints Ltd.,INE849C01026,SHALPAINTS,SHALPAINTS
Jay Bharat Maruti Ltd.,INE571B01036,JAYBARMARU,JAYBARMARU
TGV SRAAC LIMITED,INE284B01028,TGVSL,
Ganesh Benzoplast Ltd.,INE388A01029,GANESHBE,GANESHBE
AGS TRANSACT TECHNOLOGIES LIMITED,INE583L01014,AGSTRA ,AGSTRA
Dharmaj Crop Guard Limited,INE00OQ01016,DHARMAJ,DHARMAJ
Anuh Pharma Ltd.,INE489G01022,ANUHPHR,ANUHPHR
SUTLEJ TEXTILES & INDUSTRIES LIMITED,INE645H01027,SUTLEJTEX,SUTLEJTEX
Transindia Real Estate Limited,INE0O3901029,TREL,TREL
Jaybharat Textiles And Real Estate Limited,INE091E01039,JAYTEX,
Nahar Spinning Mills Ltd.,INE290A01027,NAHARSPING,NAHARSPING
Valiant Organics Limited,INE565V01010,VALIANTORG,VALIANTORG
Benares Hotels Ltd,INE664D01019,BENARAS,
Zee Media Corporation Limited,INE966H01019,ZEEMEDIA,ZEEMEDIA
Zuari Industries Limited,INE217A01012,ZUARIIND,ZUARIIND
Jagatjit Industries Ltd.,INE574A01016,JAGAJITIND,
InfoBeans Technologies Limited,INE344S01016,INFOBEAN,INFOBEAN
Urja Global Limited,INE550C01020,URJA,URJA
State Trading Corporation of India,INE655A01013,STCINDIA,STCINDIA
KRYSTAL INTEGRATED SERVICES LIMITED,INE0QN801017,KRYSTAL,KRYSTAL
ALGOQUANT FINTECH LIMITED,INE598D01027,AQFINTECH,
Voith Paper Fabrics India Ltd,INE285C01015,VOITHPAPR,
Bharat Parenterals Limited,INE365Y01019,BPLPHARMA,
THE INVESTMENT TRUST OF INDIA LIMITED,INE924D01017,THEINVEST,THEINVEST
WAAREE TECHNOLOGIES LIMITED ,INE725P01012,WAAREE,
Kamdhenu Ventures Limited,INE0BTI01037,KAMOPAINTS,KAMOPAINTS
Sastasundar Ventures Limited,INE019J01013,SASTASUNDR,SASTASUNDR
Kriti Industries (India) Ltd.,INE479D01038,KRITI,KRITI
Shree Ganesh Remedies Limited,INE414Y01015,SGRL,
Arihant Capital Markets Ltd.,INE420B01036,ARIHANTCAP,ARIHANTCAP
NINtec Systems Limited,INE395U01014,NINSYS,NINSYS
AYM Syntex Limited,INE193B01039,AYMSYNTEX,AYMSYNTEX
Gandhi Special Tubes Ltd.,INE524B01027,GANDHITUBE,GANDHITUBE
RACL Geartech Limited,INE704B01017,RACLGEAR,RACLGEAR
VASHU BHAGNANI INDUSTRIES LIMITED,INE147C01017,POOJAENT,
NCL Industries Limited,INE732C01016,NCLIND,NCLIND
Sical Logistics Limited,INE075B01020,SICALLOG,SICALLOG
Entertainment Network (India) Ltd,INE265F01028,ENIL,ENIL
RSWM Limited,INE611A01016,RSWM,RSWM
ASIAN GRANITO INDIA LIMITED,INE022I01019,ASIANTILES,ASIANTILES
Orient Paper & Industries Ltd.,INE592A01026,ORIENTPPR,ORIENTPPR
Bodal Chemicals Ltd,INE338D01028,BODALCHEM,BODALCHEM
GVK Power & Infrastructure Ltd,INE251H01024,GVKPIL,GVKPIL
Aditya Birla  Money Ltd,INE865C01022,BIRLAMONEY,BIRLAMONEY
Dhanlaxmi Bank Limited,INE680A01011,DHANBANK,DHANBANK
Lancer Container Lines Limited,INE359U01028,LANCER,
Primo Chemicals Limited,INE607A01022,PRIMO,
INDIA SOLOMON HOLDINGS LIMITED,INE00WT01013,,
GHCL Textiles Limited,INE0PA801013,GHCLTEXTIL,GHCLTEXTIL
Ratnaveer Precision Engineering Limited,INE05CZ01011,RATNAVEER,RATNAVEER
Concord Control Systems Limited,INE0N0J01014,CNCRD,
Ambika Cotton Mills Ltd.,INE540G01014,AMBIKCO,AMBIKCO
Shivalik Rasayan Ltd.,INE788J01021,SHIVALIK,SHIVALIK
GFL LIMITED,INE538A01037,GFLLIMITED,GFLLIMITED
K&R RAIL ENGINEERING LIMITED,INE078T01026,KRRAIL,
PNGS GARGI FASHION JEWELLERY LIMITED,INE0NT601018,GARGI,
Royal Orchid Hotels Ltd,INE283H01019,ROHLTD,ROHLTD
LINC LIMITED,INE802B01027,LINC,LINC
Prime Securities Ltd.,INE032B01021,PRIMESECU,PRIMESECU
20 Microns Limited,INE144J01027,20MICRONS,20MICRONS
Ritco Logistics Limited,INE01EG01016,RITCO,RITCO
Rushil Decor Limited,INE573K01025,RUSHIL,RUSHIL
Morganite Crucible (India) Limited,INE599F01020,MORGANITE,
SBC EXPORTS LIMITED,INE04AK01028,SBC,SBC
Mindteck (India) Ltd,INE110B01017,MINDTECK,MINDTECK
Sar  Auto Products Limited,INE002E01010,SAPL,
Transpek Industry Ltd.,INE687A01016,TRANSPEK,
Filatex Fashions Ltd,INE185E01021,FILATFASH,FILATFASH
Chemcon Speciality Chemicals Limited,INE03YM01018,CHEMCON,CHEMCON
Rajapalayam Mills Limited,INE296E01026,RAJPALAYAM,
Sarveshwar Foods Limited,INE324X01026,SARVESHWAR,SARVESHWAR
Zodiac Energy Limited,INE761Y01019,ZODIAC,ZODIAC
Hazoor Multi Projects Limited,INE550F01049,HAZOOR,
Silver Touch Technologies Limited,INE625X01018,SILVERTUC,SILVERTUC
Innovana Thinklabs Limited,INE403Y01018,INNOVANA,INNOVANA
CSL Finance Limited,INE718F01018,CSLFINANCE,CSLFINANCE
Tracxn Technologies Limited,INE0HMF01019,TRACXN,TRACXN
MALLCOM (INDIA) LTD.,INE389C01015,MALLCOM,MALLCOM
Essar Shipping Ltd,INE122M01019,ESSARSHPNG,ESSARSHPNG
STEL Holdings Limited,INE577L01016,STEL,STEL
Garuda Construction and Engineering Limited,INE0JVO01026,GARUDA,GARUDA
Visaka Industries Ltd.,INE392A01021,VISAKAIND,VISAKAIND
SPEL Semiconductor Ltd.,INE252A01019,SPELS,
TAAL Enterprises Limited,INE524T01011,TAALENT,
Oswal Agro Mills Ltd.,INE142A01012,OSWALAGRO,OSWALAGRO
Jayant Agro-Organics Limited.,INE785A01026,JAYAGROGN,JAYAGROGN
Ugar Sugar Works Ltd.,INE071E01023,UGARSUGAR,UGARSUGAR
Eldeco Housing & Ind. Ltd.,INE668G01021,ELDEHSG,ELDEHSG
Viceroy Hotels Ltd.,INE048C01025,VHLTD,VHLTD
JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED,INE147P01019,JPOLYINVST,JPOLYINVST
ZUARI AGRO CHEMICALS LIMITED,INE840M01016,ZUARI,ZUARI
Dhampur Bio Organics Limited,INE0I3401014,DBOL,DBOL
Bhageria Industries Limited,INE354C01027,BHAGERIA,BHAGERIA
FERMENTA BIOTECH LIMITED,INE225B01021,FERMENTA,
Foods & Inns Ltd.,INE976E01023,FOODSIN,FOODSIN
Deccan Cements Ltd.,INE583C01021,DECCANCE,DECCANCE
MMP Industries Ltd.,INE511Y01018,,MMP
Onward Technologies Ltd.,INE229A01017,ONWARDTEC,ONWARDTEC
Ruby Mills Ltd.,INE301D01026,RUBYMILLS,RUBYMILLS
Virtuoso Optoelectronics Limited,INE0I0T01010,VOEPL,
Danlaw Technologies India Ltd.,INE310B01013,DANLAW,
Integra Engineering India Ltd.,INE984B01023,INTEGRAEN,
Ashika Credit Capital Ltd.,INE094B01013,ASHIKA,
ADC India Communications Limited,INE833A01016,ADCINDIA,
Macfos Limited,INE0OLH01013,ROBU,
RMC SWITCHGEARS LIMITED,INE655V01019,RMC,
Jindal Photo Limited,INE796G01012,JINDALPHOT,JINDALPHOT
Kaycee Industries Ltd.,INE813G01023,KAYCEEI,
Meson Valves India Limited,INE0OYE01013,MESON,
Career Point Limited,INE521J01018,CAREERP,CAREERP
Radiant Cash Management Services Limited,INE855R01021,RADIANTCMS,RADIANTCMS
EKI Energy Services Limited,INE0CPR01018,EKI,
OnMobile Global Ltd.,INE809I01019,ONMOBILE,ONMOBILE
Repro India Ltd.,INE461B01014,REPRO,REPRO
Shree Pushkar Chemicals & Fertilisers Limited,INE712K01011,SHREEPUSHK,SHREEPUSHK
MONEYBOXX FINANCE LIMITED,INE296Q01012,MONEYBOXX,
